,base_market,quote_market,hedge_ratio,half_life
94,RUNE-USD,EOS-USD,1.319649691844652,10.0
95,RUNE-USD,XMR-USD,0.007657065480840334,13.0
96,RUNE-USD,UMA-USD,0.5182795909282627,18.0
97,RUNE-USD,UNI-USD,0.22703649907630008,18.0
98,RUNE-USD,AVAX-USD,0.07837109307748705,4.0
99,FIL-USD,YFI-USD,0.0006635545964201976,7.0
100,FIL-USD,ALGO-USD,27.383580087813186,20.0
101,FIL-USD,BTC-USD,0.00016671677736095923,13.0
102,FIL-USD,SOL-USD,0.22019632985259907,16.0
103,ZRX-USD,ALGO-USD,1.362032982820581,11.0
104,ZRX-USD,BTC-USD,8.291963499070678e-06,8.0
105,ZRX-USD,DOGE-USD,3.0796436048181284,6.0
106,YFI-USD,COMP-USD,190.95079787365566,5.0
107,YFI-USD,NEAR-USD,4111.875861249313,5.0
108,YFI-USD,ALGO-USD,41266.237699605845,4.0
109,YFI-USD,XMR-USD,44.592040403679675,7.0
110,YFI-USD,SUSHI-USD,7589.27777501065,6.0
111,YFI-USD,ADA-USD,18488.87899230644,11.0
112,YFI-USD,BTC-USD,0.2512261008549307,7.0
113,YFI-USD,SOL-USD,331.91646864402514,5.0
114,YFI-USD,LTC-USD,77.99302909946493,15.0
115,YFI-USD,AAVE-USD,106.18519639241077,7.0
116,YFI-USD,UNI-USD,1321.852340932609,15.0
117,YFI-USD,1INCH-USD,16665.262904696676,3.0
118,YFI-USD,AVAX-USD,456.39236969678984,5.0
119,COMP-USD,ALGO-USD,216.04039164183666,15.0
120,COMP-USD,BTC-USD,0.001315301202385368,9.0
121,XLM-USD,NEAR-USD,0.0535773414431739,16.0
122,XLM-USD,ALGO-USD,0.5377558603528617,8.0
123,XLM-USD,SOL-USD,0.00432528592015935,6.0
124,XLM-USD,AVAX-USD,0.005946709738602133,9.0
125,EOS-USD,ALGO-USD,5.368460861076644,9.0
126,EOS-USD,SUSHI-USD,0.987260990001677,15.0
127,EOS-USD,SOL-USD,0.04317602879554447,7.0
128,EOS-USD,1INCH-USD,2.1677739944082033,7.0
129,EOS-USD,AVAX-USD,0.05936390029369447,10.0
130,NEAR-USD,ALGO-USD,10.035446833771955,7.0
131,NEAR-USD,XMR-USD,0.010843513151650412,17.0
132,NEAR-USD,SUSHI-USD,1.8455046983362668,8.0
133,NEAR-USD,BTC-USD,6.109190993740829e-05,7.0
134,NEAR-USD,1INCH-USD,4.051741692269858,7.0
135,NEAR-USD,AVAX-USD,0.11095556173245505,9.0
136,XMR-USD,BTC-USD,0.005633486673513401,3.0
137,XMR-USD,SOL-USD,7.440912320350529,5.0
138,XMR-USD,LTC-USD,1.7503621403742564,23.0
139,XMR-USD,1INCH-USD,373.5772931014406,7.0
140,XMR-USD,AVAX-USD,10.230689977625547,5.0
141,SUSHI-USD,ADA-USD,2.4363458071286233,9.0
142,SUSHI-USD,DOGE-USD,12.291033591871503,3.0
143,SUSHI-USD,LTC-USD,0.010288964939802348,15.0
144,SUSHI-USD,AAVE-USD,0.0139926581671125,6.0
145,SUSHI-USD,UNI-USD,0.17421849222276314,11.0
146,SUSHI-USD,MATIC-USD,1.0306052280416784,4.0
147,SUSHI-USD,AVAX-USD,0.06010803795673356,7.0
148,ADA-USD,DOT-USD,0.06853430907180587,4.0
149,ADA-USD,CRV-USD,0.44214413572168154,5.0
150,ADA-USD,SOL-USD,0.017941498996412345,7.0
151,ADA-USD,DOGE-USD,5.0440045684045565,4.0
152,ADA-USD,LTC-USD,0.004223772560261961,14.0
153,ADA-USD,AAVE-USD,0.005742678443021521,5.0
154,ADA-USD,UNI-USD,0.07150754698462239,9.0
155,ADA-USD,MATIC-USD,0.4229487324838307,4.0
156,ADA-USD,1INCH-USD,0.9007049865175243,10.0
157,ADA-USD,AVAX-USD,0.024666066787840047,12.0
158,ADA-USD,ETH-USD,0.00020176675117772536,2.0
159,BTC-USD,DOT-USD,5044.934363763948,2.0
160,BTC-USD,CRV-USD,32545.27211335326,4.0
161,BTC-USD,SOL-USD,1320.6064040482906,4.0
162,BTC-USD,DOGE-USD,371278.0309789628,3.0
163,BTC-USD,LTC-USD,310.78145827597575,15.0
164,BTC-USD,AVAX-USD,1815.7821947028065,4.0
165,BTC-USD,ETH-USD,14.852195343591053,2.0
166,DOT-USD,SOL-USD,0.26173450283095945,4.0
167,DOT-USD,LTC-USD,0.06158177128737211,17.0
168,DOT-USD,UNI-USD,1.0430068057182464,12.0
169,DOT-USD,1INCH-USD,13.140116882019829,5.0
170,DOT-USD,AVAX-USD,0.3598642029409307,4.0
171,SOL-USD,1INCH-USD,50.190990205324155,3.0
172,DOGE-USD,UNI-USD,0.014172458772696548,9.0
173,LTC-USD,AAVE-USD,1.3554274908573678,12.0
174,AAVE-USD,UNI-USD,12.448494779838022,9.0
175,AAVE-USD,1INCH-USD,156.7775327718175,24.0
176,AAVE-USD,AVAX-USD,4.293599760593799,11.0
177,MATIC-USD,1INCH-USD,2.1287346648826326,8.0
178,MATIC-USD,AVAX-USD,0.058297723374663886,8.0
179,1INCH-USD,AVAX-USD,0.027382550625989543,2.0
